Distortion,whspr-small,owsm4,owsm-ctc4,wavlm-large,wav2vec2-large-xlsr,wav2vec2-base-lm
clean,0.0,0.012875536480686695,0.004219409282700422,0.056818181818181816,0.07317073170731707,0.049019607843137254
fast,0.68,0.9240506329113924,0.9140625,0.7586206896551724,0.6703910614525139,0.7487684729064039
reversed,0.5161290322580645,0.8095238095238095,0.6605166051660517,0.4967741935483871,0.5319148936170213,0.536723163841808
narrowband,0.978494623655914,0.9691358024691358,0.97,1.0,0.7894736842105263,0.9526627218934911
tone_vocoded,0.9666666666666667,0.9444444444444444,0.5714285714285714,0.4269005847953216,0.5939086294416244,0.4166666666666667
noise_vocoded,0.1792452830188679,0.359375,0.304,0.2875,0.425531914893617,0.3711340206185567
glimpsed,0.35772357723577236,0.3415492957746479,0.32,0.4722222222222222,0.5213675213675214,0.5178571428571429
sculpted,0.6370370370370371,0.883177570093458,0.9411764705882353,0.7525252525252525,0.6691729323308271,0.686046511627907
