Condition,whspr-small,owsm4,owsm-ctc4,wavlm-large,wav2vec2-large-xlsr,wav2vec2-base-lm
20ms,0.0381,0.03739651333521752,0.0322,0.0795,0.1291,0.12431497170273047
31ms,0.0577,0.05582937539206022,0.0498,0.1146,0.1723,0.1876443298613744
40ms,0.1743814926895848,0.1399698070546713,0.104,0.173,0.2621,0.27818180564842454
50ms,0.45538957860850504,0.5195,0.3212,0.3297,0.3961,0.4258790765646219
62ms,1.1664,0.746455086270482,0.6804,0.4912,0.5597,0.5557983552427499
80ms,2.0522517181716036,0.8499,0.9112,0.6252,0.6765,0.6382568054760903
