Condition,whspr-small,owsm4,owsm-ctc4,wavlm-large,wav2vec2-large-xlsr,wav2vec2-base-lm
20ms,0.0125,0.013953488372093023,0.0152,0.0717,0.1064,0.1154
31ms,0.0385,0.034934497816593885,0.0348,0.104,0.1508,0.1848
40ms,0.14,0.11403508771929824,0.0897,0.1652,0.2549,0.2857
50ms,0.3269230769230769,0.5229,0.2899,0.3375,0.4112,0.4514
62ms,0.5735,0.8260869565217391,0.6818,0.5138,0.5762,0.5798
80ms,0.7109826589595376,0.7949,0.95,0.6375,0.6875,0.6534
