Condition,whspr-small,owsm4,owsm-ctc4,wavlm-large,wav2vec2-large-xlsr,wav2vec2-base-lm
mid_only_1_3,0.9706,0.8914,0.9662,0.9948,0.8036,0.9367
mid_only_2_3,0.7433,0.5554,0.9603,0.6866,0.6761,0.7758
mid_only_1.0,0.2946,0.303,0.9583,0.3718,0.5222,0.6384
low_mid_1_3,0.9641,0.9414,0.9726,0.7289,0.6483,0.7593
high_mid_1_3,0.9429,0.8916,0.9801,0.8246,0.7119,0.8185
low_high_1_3,0.9703,0.8805,0.9705,0.9273,0.65,0.8009
all_bands_1_3,0.6603,0.7414,0.6505,0.3475,0.5075,0.582
