Condition,whspr-small,owsm4,owsm-ctc4,wavlm-large,wav2vec2-large-xlsr,wav2vec2-base-lm
mid_only_1_3,0.9785,0.9261083743842364,0.9701,1.0,0.793,0.9444
mid_only_2_3,0.7971,0.5706521739130435,0.9647,0.6881,0.6992,0.7687
mid_only_1.0,0.2613,0.26627218934911245,0.9677,0.3313,0.5469,0.6438
low_mid_1_3,0.9783,0.9696969696969697,0.9796,0.7391,0.6667,0.75
high_mid_1_3,0.976,0.9548872180451128,1.0,0.8421,0.7273,0.8182
low_high_1_3,0.9785,0.9333333333333333,0.9776,0.9583,0.6741,0.7972
all_bands_1_3,0.7234,0.7972508591065293,0.6989,0.29878048780487804,0.5361,0.5775
