Distortion,whspr-small,owsm4,owsm-ctc4,wavlm-large,wav2vec2-large-xlsr,wav2vec2-base-lm
clean,0.0321,0.036955337878359654,0.0249,0.06298468983297373,0.09454252173133794,0.0598
fast,0.9301,0.8944005183811619,0.9029,0.751163255599137,0.6690287935919265,0.7446
reversed,1.0817,0.746455086270482,0.6804,0.48847084450633155,0.5591416380017509,0.556
narrowband,0.9801,0.9740809419096004,0.9701,0.9958019397933369,0.8265973653553186,0.9488
tone_vocoded,1.5661,0.9083320121047516,0.5656,0.43912812700338466,0.5977307037437873,0.4104
noise_vocoded,0.2078,0.3758056622112541,0.3057,0.2783334597117194,0.42472788435688336,0.3682
glimpsed,0.4793,0.36672020514658743,0.335,0.4605182432944777,0.5187051500341222,0.5067
sculpted,1.270240647424983,0.852564677011312,0.9037961769389317,0.7496191415001344,0.6743366858072477,0.6782
