Distortion,whspr-small,owsm4,owsm-ctc4,wavlm-large,wav2vec2-large-xlsr,wav2vec2-base-lm
clean,0.031208743347896507,0.035266717669918686,0.02450363986106674,0.06171217242290212,0.09302989712451809,0.058191934364832915
fast,0.6420956025931422,0.8695649201020178,0.8807404064440251,0.7416566446181599,0.6568188783328226,0.7320681012640938
reversed,0.6144862768244866,0.7005917399040276,0.6522291959744616,0.46910919540229884,0.5118831264068767,0.5091964780258609
narrowband,0.9684108301817113,0.9591303574725929,0.9568871776283844,0.9878061290785866,0.7865786954738138,0.9363224160688273
tone_vocoded,0.6838342481207773,0.807877133105802,0.5352168059609976,0.43110571411127013,0.5813970756996855,0.39490276233530186
noise_vocoded,0.19576594656278282,0.3495963029852332,0.29429197873153595,0.271030301398992,0.410036302372691,0.35061681183118276
glimpsed,0.4014231077114649,0.34608532645545553,0.3225797793821627,0.45209625537805886,0.5011827776847043,0.49021643745687665
sculpted,0.682952470043209,0.7895315863199973,0.8812913726133815,0.7371933683541796,0.6531339127613847,0.6560380516163129
