Condition,whspr-small,owsm4,owsm-ctc4,wavlm-large,wav2vec2-large-xlsr,wav2vec2-base-lm
mid_only_1_3,0.9711,0.9077,0.9663,0.9948,0.807,0.9367679653679655
mid_only_2_3,0.7805,0.5852,0.9606,0.6877,0.6882,0.7778378354978355
mid_only_1.0,0.3151,0.3188,0.9587,0.3739,0.5366,0.646769696969697
low_mid_1_3,0.9671,0.9425,0.9726,0.7286,0.6622,0.7624795670995671
high_mid_1_3,0.9488,0.8937,0.9801,0.8246,0.7218,0.8193296103896105
low_high_1_3,0.9708,0.8841,0.9705,0.9268,0.6678,0.8018949783549782
all_bands_1_3,0.7105,0.7498,0.6536,0.3515,0.5261876190476191,0.5911749783549783
