Condition,whspr-small,owsm4,owsm-ctc4,wavlm-large,wav2vec2-large-xlsr,wav2vec2-base-lm
20ms,0.0125,0.013888888888888888,0.015151515151515152,0.07109004739336493,0.10559006211180125,0.1134020618556701
31ms,0.03821656050955414,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.14883720930232558,0.1799163179916318
40ms,0.13793103448275862,0.1099476439790576,0.0875,0.16216216216216217,0.24793388429752067,0.2760416666666667
50ms,0.30952380952380953,0.46405228758169936,0.2777777777777778,0.32575757575757575,0.3870967741935484,0.42452830188679247
62ms,0.509641873278237,0.8095238095238095,0.6605166051660517,0.4983164983164983,0.5333333333333333,0.5384615384615384
80ms,0.6301369863013698,0.7340425531914894,0.9487179487179487,0.6231155778894473,0.6266666666666667,0.6036036036036037
