Distortion,whspr-small,owsm4,owsm-ctc4,wavlm-large,wav2vec2-large-xlsr,wav2vec2-base-lm
clean,0.0312 | 0.0330 | 0.0000,0.0353 | 0.0463 | 0.0129,0.0245 | 0.0283 | 0.0042,0.0617 | 0.0714 | 0.0568,0.0930 | 0.0926 | 0.0732,0.0582 | 0.0729 | 0.0490
fast,0.6421 | 0.6767 | 0.6800,0.8696 | 0.8712 | 0.9241,0.8807 | 0.8700 | 0.9141,0.7417 | 0.7523 | 0.7586,0.6568 | 0.6641 | 0.6704,0.7321 | 0.7467 | 0.7488
reversed,0.6145 | 0.5399 | 0.5161,0.7006 | 0.7333 | 0.8095,0.6522 | 0.6428 | 0.6605,0.4691 | 0.5058 | 0.4968,0.5119 | 0.5252 | 0.5319,0.5092 | 0.5378 | 0.5367
narrowband,0.9684 | 0.9706 | 0.9785,0.9591 | 0.9625 | 0.9691,0.9569 | 0.9654 | 0.9700,0.9878 | 0.9945 | 1.0000,0.7866 | 0.8016 | 0.7895,0.9363 | 0.9411 | 0.9527
tone_vocoded,0.6838 | 0.9116 | 0.9667,0.8079 | 0.8831 | 0.9444,0.5352 | 0.6144 | 0.5714,0.4311 | 0.4542 | 0.4269,0.5814 | 0.5864 | 0.5939,0.3949 | 0.4261 | 0.4167
noise_vocoded,0.1958 | 0.2302 | 0.1792,0.3496 | 0.4416 | 0.3594,0.2943 | 0.3595 | 0.3040,0.2710 | 0.3196 | 0.2875,0.4100 | 0.4263 | 0.4255,0.3506 | 0.3861 | 0.3711
glimpsed,0.4014 | 0.3841 | 0.3577,0.3461 | 0.3987 | 0.3415,0.3226 | 0.3631 | 0.3200,0.4521 | 0.4789 | 0.4722,0.5012 | 0.5115 | 0.5214,0.4902 | 0.5159 | 0.5179
sculpted,0.6830 | 0.6557 | 0.6370,0.7895 | 0.8279 | 0.8832,0.8813 | 0.8831 | 0.9412,0.7372 | 0.7466 | 0.7525,0.6531 | 0.6637 | 0.6692,0.6560 | 0.6866 | 0.6860
