Condition,whspr-small,owsm4,owsm-ctc4,wavlm-large,wav2vec2-large-xlsr,wav2vec2-base-lm
0.5,0.015,0.06451612903225806,0.0301,0.1064,0.125,0.25
1.0,0.0,0.0129533678756476,0.0042,0.0576923076923076,0.0744,0.0497
1.5,0.1717,0.23275862068965517,0.2336,0.3836,0.3115,0.5625
2.5,0.7143,0.927536231884058,0.9177,0.7614,0.6752,0.7647
