Condition,whspr-small,owsm4,owsm-ctc4,wavlm-large,wav2vec2-large-xlsr,wav2vec2-base-lm
mid_only_1_3,0.9684108301817113,0.8061752800527158,0.957359066071221,0.9878266459674055,0.788427875936765,0.9296681051285383
mid_only_2_3,0.7250762907253925,0.5182624102175174,0.9531667817892094,0.6569624047855888,0.6800898193437218,0.7508742691656194
mid_only_1.0,0.31264998080245726,0.2583897413244293,0.95436360030365,0.33417659870939814,0.5236859967338929,0.6063205173300144
low_mid_1_3,0.8600112155157086,0.9063218076375971,0.970626654174161,0.6952648595555434,0.6401027235250388,0.7250001706589483
high_mid_1_3,0.757856352685705,0.8560959269336469,0.9773698716326656,0.8011085216749475,0.7090312612729116,0.7928778026215922
low_high_1_3,0.9682466950711595,0.7774251452049933,0.9718097947627222,0.9069490702429883,0.6495131096245145,0.7712891385921384
all_bands_1_3,0.6666734204298636,0.657743488491602,0.5806933753643176,0.30268095608370804,0.4922686098205034,0.5269471943867573
