Condition,whspr-small,owsm4,owsm-ctc4,wavlm-large,wav2vec2-large-xlsr,wav2vec2-base-lm
mid_only_1_3,0.9801,1.2650637291734164,0.97,0.9956571790965554,0.8285688681781521,0.9425231100112362
mid_only_2_3,1.924,0.6168253289859168,0.9673,0.6690356869584398,0.7013793626393322,0.7707197363976646
mid_only_1.0,0.367,0.2765205043186941,0.9684,0.33984986247733806,0.5401297331577822,0.6250973688020018
low_mid_1_3,1.0625,0.9433434206263313,0.9812,0.7077143664651506,0.6596538151336968,0.7473719040167647
high_mid_1_3,1.1963,0.8856597296421653,0.9874,0.8180702709782376,0.7348052968628289,0.8147752417848304
low_high_1_3,0.9801,0.9687592629612524,0.9822,0.9269165282248892,0.6706832015551435,0.7916686772318997
all_bands_1_3,1.4227,0.7008485734178,0.5968,0.30947768961927935,0.510446896951064,0.5451412106130271
