Distortion,wav2vec2-large-xlsr,wav2vec2-base-lm,wavlm-large,owsm-ctc4,whspr-small,ft-whspr-small
low_mid_1_3,0.9401918614718616,0.9733847619047619,0.9307427705627707,0.9994358441558441,0.9857167099567099,
high_mid_1_3,0.9696032900432899,0.9816766233766233,0.9698110822510824,0.9994153246753248,0.9807114285714286,
low_high_1_3,0.9496476190476191,0.9801012987012986,0.9890638095238096,0.9986673593073594,0.9871670129870131,
mid_only_1_3,0.9911581818181819,0.9955435497835499,0.9961693506493507,0.9998658008658009,0.9871569696969695,0.9055851948051948
mid_only_2_3,0.9477570562770563,0.9754399999999998,0.9091933333333334,0.9991778354978356,0.8906787012987013,
mid_only_1.0,0.8328448484848484,0.9241348051948051,0.6611085714285715,0.9937036363636362,0.4421172294372295,
