Condition,whspr-small,owsm4,owsm-ctc4,wavlm-large,wav2vec2-large-xlsr,wav2vec2-base-lm
0.5,0.0479,0.0941,0.0527,0.1374,0.1516,0.2826
1.0,0.033,0.0463,0.0283,0.0714,0.0926,0.0729
1.5,0.2245,0.3203,0.2792,0.4078,0.3276,0.5649
2.5,0.69,0.8754,0.8757,0.7543,0.665,0.7683
