Condition,whspr-small,owsm4,owsm-ctc4,wavlm-large,wav2vec2-large-xlsr,wav2vec2-base-lm
mid_only_1_3,0.978494623655914,0.9166666666666666,0.9701492537313433,1.0,0.7903225806451613,0.9444444444444444
mid_only_2_3,0.7413793103448276,0.5328467153284672,0.9647058823529412,0.6855895196506551,0.6875,0.7669616519174042
mid_only_1.0,0.25,0.25609756097560976,0.967741935483871,0.325,0.5315315315315315,0.6351351351351351
low_mid_1_3,0.9777777777777777,0.9695121951219512,0.9795918367346939,0.7380952380952381,0.6551724137931034,0.7481481481481481
high_mid_1_3,0.975,0.9548872180451128,1.0,0.8421052631578947,0.7165775401069518,0.8181818181818182
low_high_1_3,0.978494623655914,0.9326923076923077,0.9776119402985075,0.9583333333333334,0.6581196581196581,0.796875
all_bands_1_3,0.6536312849162011,0.7916666666666666,0.6929133858267716,0.29411764705882354,0.5151515151515151,0.5632183908045977
