Condition,whspr-small,owsm4,owsm-ctc4,wavlm-large,wav2vec2-large-xlsr,wav2vec2-base-lm
20ms,0.03721151558410659,0.0364167689355672,0.03147252269391749,0.07785428472772328,0.126770600731656,0.12072997016690408
31ms,0.05641407811388503,0.054337921118888674,0.04868314959989701,0.11223323299624581,0.1687872225230103,0.18179808104631218
40ms,0.16620004754232587,0.1330502900197333,0.10037416081552332,0.16845800992749432,0.2545010270800048,0.266538022864115
50ms,0.370722366041349,0.45614667298877826,0.3051268263862612,0.31674533005384564,0.3739526900879773,0.39796592602189546
62ms,0.6292371311914732,0.7005917399040276,0.6522291959744616,0.4717396655999042,0.5124413325170901,0.5108357547906452
80ms,0.7440834252025116,0.6884560576487989,0.8832222108250419,0.6041926527984549,0.6131322827337626,0.5804405980543536
