Condition,ft-whspr-small
clean,0.015151515151515152
mid_only_1_3,0.9444444444444444
low_mid_1_3,0.8157894736842105
high_mid_1_3,0.7401960784313726
low_high_1_3,0.8666666666666667
mid_only_2_3,0.21839080459770116
mid_only_1.0,0.32558139534883723
all_bands_1_3,0.6388888888888888
