Condition,ft-whspr-small,whspr-small
clean,0.008583690987124463,0.0
20ms,0.025477707006369428,0.0125
31ms,0.030927835051546393,0.0385
40ms,0.028985507246376812,0.14
50ms,0.023474178403755867,0.3269230769230769
62ms,0.03015075376884422,0.5735
80ms,0.15492957746478872,0.7109826589595376
