# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.initialize.library.bridges.after.loading.ms,1751140131288000000,1751140191288000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1751140131288000000,1751140191288000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1751140131288000000,1751140191288000000,0
workspaceModel.mutableEntityStorage.entities.ms,1751140131288000000,1751140191288000000,0
jps.load.initial.state.ms,1751140131288000000,1751140191288000000,0
jps.global.initialize.library.bridges.ms,1751140131288000000,1751140191288000000,0
jps.app.storage.content.writer.save.component.ms,1751140131288000000,1751140191288000000,0
jps.modifiable.module.model.bridge.load.module.ms,1751140131288000000,1751140191288000000,0
jps.app.storage.content.reader.load.component.ms,1751140131288000000,1751140191288000000,0
jps.load.project.to.empty.storage.ms,1751140131288000000,1751140191288000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1751140131288000000,1751140191288000000,0
jps.module.iml.entities.serializer.load.entities.ms,1751140131288000000,1751140191288000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1751140131288000000,1751140191288000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1751140131288000000,1751140191288000000,0
jps.apply.loaded.storage.ms,1751140131288000000,1751140191288000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1751140131288000000,1751140191288000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1751140131288000000,1751140191288000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1751140131288000000,1751140191288000000,0
workspaceModel.global.apply.state.to.project.ms,1751140131288000000,1751140191288000000,0
jps.global.get.library.by.name.ms,1751140131288000000,1751140191288000000,0
workspaceModel.load.cache.metadata.from.file.ms,1751140131288000000,1751140191288000000,0
jps.reload.project.entities.ms,1751140131288000000,1751140191288000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1751140131288000000,1751140191288000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1751140131288000000,1751140191288000000,0
jps.save.changed.project.entities.ms,1751140131288000000,1751140191288000000,0
jps.facet.change.listener.init.bridge.ms,1751140131288000000,1751140191288000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1751140131288000000,1751140191288000000,0
jps.modifiable.module.model.bridge.new.module.ms,1751140131288000000,1751140191288000000,0
jps.library.entities.serializer.save.entities.ms,1751140131288000000,1751140191288000000,0
jps.global.get.libraries.ms,1751140131288000000,1751140191288000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1751140131288000000,1751140191288000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1751140131288000000,1751140191288000000,0
jps.artifact.entities.serializer.load.entities.ms,1751140131288000000,1751140191288000000,0
jps.module.iml.entities.serializer.save.entities.ms,1751140131288000000,1751140191288000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1751140131288000000,1751140191288000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1751140131288000000,1751140191288000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1751140131288000000,1751140191288000000,0
workspaceModel.save.cache.to.file.ms,1751140131288000000,1751140191288000000,0
jps.modifiable.module.model.bridge.renaming.ms,1751140131288000000,1751140191288000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1751140131288000000,1751140191288000000,0
workspaceModel.global.updates.count,1751140131288000000,1751140191288000000,0
jps.artifact.entities.serializer.save.entities.ms,1751140131288000000,1751140191288000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1751140131288000000,1751140191288000000,0
workspaceModel.orphan.listener.update.ms,1751140131288000000,1751140191288000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1751140131288000000,1751140191288000000,0
workspaceModel.moduleBridge.update.option.ms,1751140131288000000,1751140191288000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1751140131288000000,1751140191288000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1751140131288000000,1751140191288000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1751140131288000000,1751140191288000000,0
jps.global.handle.changed.events.ms,1751140131288000000,1751140191288000000,0
VFS.contentStorage.recordsStoredCompressed,1751140131288000000,1751140191288000000,0
FileNameCache.totalMisses,1751140131288000000,1751140191288000000,0
VFS.contentStorage.recordsStoredSize,1751140131288000000,1751140191288000000,0
VFS.fileByIdCache.misses,1751140131288000000,1751140191288000000,0
VFS.contentStorage.recordsReadDecompressed,1751140131288000000,1751140191288000000,0
VFS.fileByIdCache.hits,1751140131288000000,1751140191288000000,0
VFS.contentStorage.recordsRead,1751140131288000000,1751140191288000000,0
FileNameCache.queries,1751140131288000000,1751140191288000000,0
VFS.fileChildByName,1751140131288000000,1751140191288000000,0
VFS.contentStorage.recordsDeduplicated,1751140131288000000,1751140191288000000,0
VFS.contentStorage.recordsUncompressedSize,1751140131288000000,1751140191288000000,0
VFS.invertedFileNameIndex.requests,1751140131288000000,1751140191288000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1751140131288000000,1751140191288000000,0
VFS.contentStorage.recordsStored,1751140131288000000,1751140191288000000,0
VFS.contentStorage.recordsReadSize,1751140131288000000,1751140191288000000,0
writeAction.max.wait.ms,1751140131288000000,1751140191288000000,5247
DiskQueryRelay.tasksExecuted,1751140131288000000,1751140191288000000,0
writeAction.median.wait.ms,1751140131288000000,1751140191288000000,17900
writeAction.count,1751140131288000000,1751140191288000000,0
DiskQueryRelay.tasksRequested,1751140131288000000,1751140191288000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1751140131288000000,1751140191288000000,0
